tick_bars,efficiency_threshold,entry_z,atr_stop_mult,positions,fills,realized_pnl,win_rate
500,0.35,1.5,3.5,15,30,0.909971,0.7333
500,0.35,1.5,2.5,15,30,0.909971,0.7333
500,0.45,1.5,3.5,10,20,0.76963,0.9
500,0.45,1.5,2.5,11,22,0.768091,0.8182
500,0.35,1.5,1.5,16,32,0.758483,0.625
500,0.45,1.5,1.5,13,26,0.731083,0.6923
500,0.45,2.0,3.5,7,14,0.675378,0.8571
500,0.45,2.0,2.5,7,14,0.675378,0.8571
500,0.35,2.0,3.5,10,20,0.579745,0.7
500,0.35,2.0,2.5,10,20,0.579745,0.7
500,0.25,1.5,1.5,15,30,0.528822,0.6
500,0.25,1.5,3.5,16,32,0.474343,0.5625
500,0.25,1.5,2.5,16,32,0.474343,0.5625
500,0.45,2.0,1.5,8,16,0.433864,0.625
500,0.25,2.0,1.5,10,20,0.42566,0.7
500,0.25,2.0,2.5,10,20,0.42566,0.7
500,0.25,2.0,3.5,10,20,0.42566,0.7
500,0.45,2.5,3.5,3,6,0.408434,1.0
500,0.45,2.5,2.5,3,6,0.408434,1.0
500,0.35,2.0,1.5,10,20,0.339769,0.6
500,0.35,2.5,3.5,5,10,0.233358,0.8
500,0.35,2.5,2.5,5,10,0.233358,0.8
500,0.45,2.5,1.5,3,6,0.168458,0.6667
500,0.25,2.5,3.5,8,16,0.126671,0.625
500,0.25,2.5,1.5,8,16,0.126671,0.625
500,0.25,2.5,2.5,8,16,0.126671,0.625
500,0.35,2.5,1.5,5,10,-0.006618,0.6
250,0.45,2.0,1.5,24,48,-0.135363,0.4167
250,0.45,2.0,2.5,22,44,-0.210791,0.4545
250,0.45,2.0,3.5,22,44,-0.23079,0.4545
250,0.35,2.5,3.5,22,44,-0.315364,0.1818
250,0.35,2.5,2.5,22,44,-0.315364,0.1818
250,0.45,2.5,1.5,16,32,-0.343254,0.375
250,0.45,2.5,3.5,16,32,-0.378255,0.375
250,0.45,2.5,2.5,16,32,-0.378255,0.375
250,0.35,2.5,1.5,22,44,-0.390024,0.1818
250,0.45,1.5,1.5,28,56,-0.554131,0.3929
250,0.35,2.0,3.5,27,54,-0.577506,0.2222
250,0.35,2.0,2.5,27,54,-0.601509,0.2222
250,0.45,1.5,3.5,25,50,-0.635507,0.44
250,0.35,2.0,1.5,28,56,-0.661181,0.2143
100,0.45,2.5,1.5,53,106,-0.669881,0.3585
250,0.45,1.5,2.5,27,54,-0.713016,0.3704
250,0.35,1.5,1.5,32,64,-0.732898,0.2812
250,0.35,1.5,2.5,32,64,-0.736251,0.2812
250,0.35,1.5,3.5,31,62,-0.74271,0.2903
100,0.25,2.5,3.5,68,136,-0.75014,0.3088
100,0.25,2.5,1.5,70,140,-0.753856,0.3143
100,0.25,2.5,2.5,68,136,-0.773848,0.3088
100,0.45,2.5,3.5,48,96,-0.796469,0.375
250,0.25,2.5,1.5,26,52,-0.946624,0.2692
250,0.25,2.5,3.5,23,46,-0.971385,0.3043
100,0.45,2.5,2.5,48,96,-0.982452,0.375
100,0.35,2.5,1.5,69,138,-1.024834,0.2609
100,0.25,2.0,1.5,76,152,-1.06402,0.3026
100,0.35,2.5,3.5,64,128,-1.088524,0.2812
100,0.35,2.5,2.5,64,128,-1.125527,0.2812
250,0.25,2.5,2.5,24,48,-1.139628,0.2917
100,0.45,2.0,1.5,65,130,-1.174586,0.3538
250,0.25,2.0,1.5,32,64,-1.191896,0.2812
250,0.25,2.0,3.5,29,58,-1.195655,0.3103
100,0.25,2.0,3.5,75,150,-1.203772,0.2933
100,0.25,2.0,2.5,75,150,-1.213418,0.2933
100,0.35,2.0,1.5,81,162,-1.217382,0.2963
100,0.35,2.0,2.5,77,154,-1.320257,0.3117
100,0.25,1.5,2.5,83,166,-1.348512,0.3133
100,0.35,2.0,3.5,76,152,-1.375427,0.3158
100,0.25,1.5,3.5,84,168,-1.390396,0.3095
250,0.25,2.0,2.5,29,58,-1.39438,0.2759
100,0.25,1.5,1.5,87,174,-1.454022,0.3218
100,0.45,2.0,3.5,57,114,-1.520045,0.3509
250,0.25,1.5,3.5,33,66,-1.557016,0.2424
250,0.25,1.5,1.5,36,72,-1.617865,0.2222
100,0.45,2.0,2.5,60,120,-1.645028,0.35
250,0.25,1.5,2.5,34,68,-1.696522,0.2647
100,0.35,1.5,3.5,85,170,-1.721643,0.3176
100,0.45,1.5,3.5,66,132,-1.79673,0.3788
100,0.35,1.5,1.5,99,198,-1.825546,0.2828
100,0.45,1.5,1.5,84,168,-1.836962,0.3214
100,0.35,1.5,2.5,88,176,-1.855881,0.3068
100,0.45,1.5,2.5,74,148,-1.95274,0.3784
